KP_lab_id	KP_NCBI_id	blastn_length	KP_lab_length	KP_NCBI_length	covrage(%)
CPB0254	MW021752.1	163950	167475	166829	98.0843782904183
CPB0244	KX591654.1	39897	40590	40765	98.08124884764304
CPB0244	NC_047771.1	39897	40590	40765	98.08124884764304
CPB0180	KT001918.1	173108	177013	176081	98.05207678408583
CPB0180	NC_028750.1	173108	177013	176081	98.05207678408583
CPB0248	MG751100.1	164615	167799	167989	98.04698202437253
CPB0248	MT580897.1	164540	167799	167920	98.0224533017196
CPB0297	MW722081.1	50545	51532	51632	97.98960877825597
CPB0248	MZ602148.1	163656	167799	166376	97.94628562878731
CPB0509	MW042800.1	39124	39842	40079	97.9066828493137
CPB0482	MW042800.1	39124	39843	40079	97.90545782137585
CPB0483	MW042800.1	39124	39843	40079	97.90545782137585
CPB0232	KT001919.1	172349	176182	176055	97.85967970429002
CPB0232	NC_041981.1	172349	176182	176055	97.85967970429002
CPB0259	OM194190.1	39577	40665	40222	97.8575049142631
CPB0292	OM971648.1	183384	176279	198584	97.84054441222526
CPB0181	ON515458.1	172717	177471	175595	97.8383644984224
CPB0193	ON515458.1	172717	177471	175595	97.8383644984224
CPB0248	OM630219.1	164018	167799	167529	97.82541273022235
CPB0180	KT001919.1	172622	177013	176055	97.78399628400194
CPB0180	NC_041981.1	172622	177013	176055	97.78399628400194
CPB0181	KT001918.1	172765	177471	176081	97.73102683622211
CPB0181	NC_028750.1	172765	177471	176081	97.73102683622211
CPB0193	KT001918.1	172765	177471	176081	97.73102683622211
CPB0193	NC_028750.1	172765	177471	176081	97.73102683622211
CPB0881	MZ571829.1	165954	169661	169970	97.72606151970815
CPB0471	ON515458.1	171576	175659	175595	97.69340705016883
CPB0297	MZ634351.1	50516	51532	51939	97.64281779435784
CPB0292	GU295964.1	171221	176279	174436	97.64110460060162
CPB0292	NC_014036.1	171221	176279	174436	97.64110460060162
CPB0176	MW655991.1	48189	49443	49276	97.62862265622626
CPB0176	NC_055956.1	48189	49443	49276	97.62862265622626
CPB0481	MZ612130.1	173681	177272	178532	97.62734539240707
CPB0167	MW655991.1	48185	49443	49276	97.62051884642268
CPB0167	NC_055956.1	48185	49443	49276	97.62051884642268
CPB0292	MT157285.1	170042	176279	172138	97.60832565575159
CPB0259	OM194189.1	39543	40665	40386	97.57560054780323
CPB0889	ON515458.1	170830	174593	175595	97.56473665573921
CPB0471	KT001918.1	171523	175659	176081	97.52828793995565
CPB0471	NC_028750.1	171523	175659	176081	97.52828793995565
CPB0254	MZ602148.1	162778	167475	166376	97.51535864801963
CPB0232	HQ918180.1	170775	176182	174413	97.42010011551791
CPB0232	NC_020080.1	170775	176182	174413	97.42010011551791
CPB0254	MN434095.1	162659	167475	166475	97.4151819134601
CPB0889	GU295964.1	169962	174593	174436	97.39133424443241
CPB0889	NC_014036.1	169962	174593	174436	97.39133424443241
CPB0297	MN013079.1	50148	51532	51487	97.35679826051505
CPB0297	NC_049836.1	50148	51532	51487	97.35679826051505
CPB0180	GU295964.1	171033	177013	174436	97.33019584633902
CPB0180	NC_014036.1	171033	177013	174436	97.33019584633902
CPB0244	ON148528.1	39172	40590	39935	97.29152437131326
CPB0232	GU295964.1	170536	176182	174436	97.27737879971934
CPB0232	NC_014036.1	170536	176182	174436	97.27737879971934
CPB0297	MN013078.1	50140	51532	51562	97.27045220866394
CPB0292	KT001918.1	171334	176279	176081	97.24940401861733
CPB0292	NC_028750.1	171334	176279	176081	97.24940401861733
CPB0881	MN781108.1	164662	169661	169275	97.16406637241249
CPB0300	GU295964.1	170406	176394	174436	97.14448593335804
CPB0300	NC_014036.1	170406	176394	174436	97.14448593335804
CPB0244	MH172262.1	39703	40590	41161	97.13153355922252
CPB0244	NC_047969.1	39703	40590	41161	97.13153355922252
CPB0504	MW239157.1	161814	167296	165894	97.13016597136769
CPB0254	MT580897.1	162858	167475	167920	97.11414898850609
CPB0481	ON515458.1	171332	177272	175595	97.1085423119759
CPB0481	KT001919.1	171513	177272	176055	97.08457038380877
CPB0481	NC_041981.1	171513	177272	176055	97.08457038380877
CPB0889	KT001919.1	170198	174593	176055	97.07627021970751
CPB0889	NC_041981.1	170198	174593	176055	97.07627021970751
CPB0187	ON148529.1	39062	40145	40337	97.0701523321985
CPB0248	MN434095.1	162134	167799	166475	97.00664724148453
CPB0193	OM971648.1	182360	177471	198584	96.98581324540292
CPB0181	OM971648.1	182358	177471	198584	96.98474957120634
CPB0180	MZ612130.1	172341	177013	178532	96.94469054550056
CPB0260	MF285615.1	38209	38789	40048	96.93164377132565
CPB0260	NC_047842.1	38209	38789	40048	96.93164377132565
CPB0261	MF285615.1	38209	38789	40048	96.93164377132565
CPB0261	NC_047842.1	38209	38789	40048	96.93164377132565
CPB0481	HQ918180.1	170422	177272	174413	96.91741188847975
CPB0481	NC_020080.1	170422	177272	174413	96.91741188847975
CPB0301	KT001918.1	171666	178197	176081	96.91033595086344
CPB0301	NC_028750.1	171666	178197	176081	96.91033595086344
CPB0180	HQ918180.1	170185	177013	174413	96.85396072003779
CPB0180	NC_020080.1	170185	177013	174413	96.85396072003779
CPB0248	MH333064.1	161706	167799	166130	96.8505281062741
CPB0248	NC_055748.1	161706	167799	166130	96.8505281062741
CPB0301	ON515458.1	171322	178197	175595	96.84899602026049
CPB0481	OM971648.1	181983	177272	198584	96.83655442509898
CPB0471	KT001919.1	170293	175659	176055	96.83606566699079
CPB0471	NC_041981.1	170293	175659	176055	96.83606566699079
CPB0301	MZ612130.1	172693	178197	178532	96.82027533505827
CPB0881	MN013081.1	164120	169661	169384	96.8131074046218
CPB0471	MZ322895.1	169651	175659	174826	96.80927857112287
CPB0881	MZ634347.1	164705	169661	170609	96.80841684544626
CPB0426	OM938992.1	46802	47738	48957	96.80335074202388
CPB0254	MG751100.1	162370	167475	167989	96.80323372999786
CPB0221	KT001918.1	172392	180165	176081	96.78256036559006
CPB0221	NC_028750.1	172392	180165	176081	96.78256036559006
CPB0292	ON515458.1	170243	176279	175595	96.76361424828205
CPB0221	ON515458.1	172100	180165	175595	96.7506183944232
CPB0181	KT001919.1	170988	177471	176055	96.73291356222738
CPB0181	NC_041981.1	170988	177471	176055	96.73291356222738
CPB0193	KT001919.1	170988	177471	176055	96.73291356222738
CPB0193	NC_041981.1	170988	177471	176055	96.73291356222738
CPB0426	MW655991.1	46912	47738	49276	96.71181478961799
CPB0426	NC_055956.1	46912	47738	49276	96.71181478961799
CPB0834	KT001918.1	169797	175078	176081	96.70662007808428
CPB0834	NC_028750.1	169797	175078	176081	96.70662007808428
CPB0509	MW042795.1	38806	39842	40431	96.68506222515664
CPB0482	MW042795.1	38806	39843	40431	96.68385778707925
CPB0483	MW042795.1	38806	39843	40431	96.68385778707925
CPB0889	MW448170.1	169628	174593	176329	96.67561452402528
CPB0471	OM971648.1	180842	175659	198584	96.64415900898614
CPB0889	KT001918.1	169431	174593	176081	96.63162937657196
CPB0889	NC_028750.1	169431	174593	176081	96.63162937657196
CPB0232	MZ612130.1	171367	176182	178532	96.6226311901983
CPB0301	OM971648.1	181987	178197	198584	96.600943253508
CPB0834	GU295964.1	168770	175078	174436	96.57410003605005
CPB0834	NC_014036.1	168770	175078	174436	96.57410003605005
CPB0471	HQ918180.1	169035	175659	174413	96.57156242144474
CPB0471	NC_020080.1	169035	175659	174413	96.57156242144474
CPB0181	HQ918180.1	169875	177471	174413	96.5517045389958
CPB0181	NC_020080.1	169875	177471	174413	96.5517045389958
CPB0193	HQ918180.1	169875	177471	174413	96.5517045389958
CPB0193	NC_020080.1	169875	177471	174413	96.5517045389958
CPB0181	GU295964.1	169883	177471	174436	96.5499407513917
CPB0181	NC_014036.1	169883	177471	174436	96.5499407513917
CPB0193	GU295964.1	169883	177471	174436	96.5499407513917
CPB0193	NC_014036.1	169883	177471	174436	96.5499407513917
CPB0254	OM630219.1	161710	167475	167529	96.54213084022877
CPB0180	MW448170.1	170556	177013	176329	96.538764143521
CPB0232	MW448170.1	170071	176182	176329	96.49117332508773
CPB0466	MT559528.1	46850	48256	48861	96.48156347498377
CPB0471	MT157285.1	167722	175659	172138	96.44821548201968
CPB0248	OL870318.1	162922	167799	170051	96.44635193133048
CPB0221	MZ612130.1	172962	180165	178532	96.43905580476002
CPB0881	MG746602.1	164116	169661	170764	96.41830065359477
CPB0881	NC_048694.1	164116	169661	170764	96.41830065359477
CPB0297	MZ428224.1	49691	51532	51554	96.4068835729391
CPB0481	MW448170.1	170446	177272	176329	96.40583595634628
CPB0481	KT001918.1	170253	177272	176081	96.36425897049126
CPB0481	NC_028750.1	170253	177272	176081	96.36425897049126
CPB0181	MZ612130.1	171483	177471	178532	96.33795220826791
CPB0193	MZ612130.1	171483	177471	178532	96.33795220826791
CPB0244	ON148529.1	38976	40590	40337	96.32384741804341
CPB0259	OM194188.1	39174	40665	40699	96.29320092424169
CPB0300	MW448170.1	169819	176394	176329	96.29029011433902
CPB0189	KX237516.1	67948	93742	47405	96.27976506762454
CPB0189	NC_041900.1	67948	93742	47405	96.27976506762454
CPB0907	KY389316.1	38956	40764	40163	96.27442015643727
CPB0907	NC_047799.1	38956	40764	40163	96.27442015643727
CPB0914	KY389316.1	38955	40764	40163	96.27194879335697
CPB0914	NC_047799.1	38955	40764	40163	96.27194879335697
CPB0301	MW448170.1	170638	178197	176329	96.26261543582135
CPB0504	MN434095.1	160629	167296	166475	96.25102240757884
CPB0889	MZ322895.1	168121	174593	174826	96.22888280259517
CPB0221	OM971648.1	182202	180165	198584	96.21253125420793
CPB0177	MT894005.1	47746	48921	50346	96.19712492570542
CPB0301	HQ918180.1	169574	178197	174413	96.1821842829188
CPB0301	NC_020080.1	169574	178197	174413	96.1821842829188
CPB0187	MZ398245.2	39208	40145	41384	96.18172674753768
CPB0254	MH333064.1	160384	167475	166130	96.15203609058617
CPB0254	NC_055748.1	160384	167475	166130	96.15203609058617
CPB0230	MW042795.1	39099	40899	40431	96.14902250092217
CPB0274	MW042795.1	39099	40899	40431	96.14902250092217
CPB0471	MZ612130.1	170263	175659	178532	96.14191213215469
CPB0292	KT001919.1	169299	176279	176055	96.1014264873671
CPB0292	NC_041981.1	169299	176279	176055	96.1014264873671
CPB0187	MH172261.1	38812	40145	40635	96.09309234959149
CPB0187	NC_047968.1	38812	40145	40635	96.09309234959149
CPB0417	MT708547.1	336255	352932	346937	96.09083985717326
CPB0164	ON148528.1	38167	39509	39935	96.08529278485474
CPB0292	MZ612130.1	170446	176279	178532	96.07706638182017
CPB0481	GU295964.1	168924	177272	174436	96.0592309529496
CPB0481	NC_014036.1	168924	177272	174436	96.0592309529496
CPB0221	HQ918180.1	170302	180165	174413	96.05897715030261
CPB0221	NC_020080.1	170302	180165	174413	96.05897715030261
CPB0889	OK631813.1	166438	174593	171960	96.05341751478129
CPB0471	GU295964.1	168139	175659	174436	96.05335694597181
CPB0471	NC_014036.1	168139	175659	174436	96.05335694597181
CPB0881	MN395284.1	164021	169661	171860	96.05324416360926
CPB0164	MZ398245.2	38850	39509	41384	96.05281050276291
CPB0300	OK631813.1	167260	176394	171960	96.02875236110393
CPB0462	OM194190.1	38981	40972	40222	96.01941030125379
CPB0464	OM194190.1	38981	40972	40222	96.01941030125379
CPB0463	OM194190.1	38980	40972	40222	96.01694706505407
CPB0479	OM194190.1	38979	40972	40222	96.01448382885435
CPB0301	KT001919.1	170062	178197	176055	96.01187854973296
CPB0301	NC_041981.1	170062	178197	176055	96.01187854973296
CPB0472	OM194190.1	38977	40972	40222	96.0095573564549
CPB0230	MW042810.1	39038	40899	40428	96.00255757620471
CPB0274	MW042810.1	39038	40899	40428	96.00255757620471
CPB0230	MW042809.1	39037	40899	40427	96.00127880382658
CPB0274	MW042809.1	39037	40899	40427	96.00127880382658
CPB0471	MW448170.1	168931	175659	176329	95.98679500437515
CPB0254	OL870318.1	161986	167475	170051	95.98430935690881
CPB0504	OL870319.1	159859	167296	165805	95.98229966286502
CPB0504	KT239446.1	160054	167296	166226	95.97807640875264
CPB0504	NC_028686.1	160054	167296	166226	95.97807640875264
CPB0881	MN106245.1	163170	169661	170423	95.95864551110903
CPB0180	MZ322895.1	168798	177013	174826	95.95184160937247
CPB0229	KT367885.1	38635	40416	40114	95.95181919781449
CPB0229	MN585130.1	38635	40416	40114	95.95181919781449
CPB0229	NC_028688.1	38635	40416	40114	95.95181919781449
CPB0177	MW672037.1	47473	48921	50040	95.94284617172421
CPB0834	ON515458.1	168218	175078	175595	95.94009233673536
CPB0221	MW448170.1	170955	180165	176329	95.90904755760266
CPB0175	KX211991.1	41239	43802	42201	95.90130576840343
CPB0175	NC_031025.1	41239	43802	42201	95.90130576840343
CPB0221	KT001919.1	170787	180165	176055	95.8884958733367
CPB0221	NC_041981.1	170787	180165	176055	95.8884958733367
CPB0232	MZ322895.1	168267	176182	174826	95.87644726046129
CPB0165	MK903728.1	39713	41424	41420	95.87417314470571
CPB0187	KX591654.1	38775	40145	40765	95.84723767148684
CPB0187	NC_047771.1	38775	40145	40765	95.84723767148684
CPB0504	OM630219.1	160447	167296	167529	95.83931904726349
CPB0881	MZ634349.1	163082	169661	170712	95.82546206661516
CPB0889	MZ612130.1	169180	174593	178532	95.8187610619469
CPB0462	OM194189.1	38969	40972	40386	95.79635684259692
CPB0463	OM194189.1	38969	40972	40386	95.79635684259692
CPB0464	OM194189.1	38969	40972	40386	95.79635684259692
CPB0479	OM194189.1	38969	40972	40386	95.79635684259692
CPB0834	KT001919.1	168169	175078	176055	95.78649685446825
CPB0834	NC_041981.1	168169	175078	176055	95.78649685446825
CPB0297	MN013087.1	49422	51532	51678	95.76978974905532
CPB0472	OM194189.1	38952	40972	40386	95.75456623810811
CPB0230	MW042800.1	38770	40899	40079	95.75440243028972
CPB0164	MH172261.1	38368	39509	40635	95.74765422239967
CPB0164	NC_047968.1	38368	39509	40635	95.74765422239967
CPB0181	MW448170.1	169376	177471	176329	95.74674957603165
CPB0193	MW448170.1	169376	177471	176329	95.74674957603165
CPB0828	KX237515.1	47960	49100	51099	95.7294982983862
CPB0828	NC_047784.1	47960	49100	51099	95.7294982983862
CPB0274	MW042800.1	38758	40899	40079	95.72476475092
CPB0301	GU295964.1	168754	178197	174436	95.71083818020435
CPB0301	NC_014036.1	168754	178197	174436	95.71083818020435
CPB0504	MZ602148.1	159637	167296	166376	95.68498405619891
CPB0180	MT157285.1	167041	177013	172138	95.68410229384993
CPB0180	OK631813.1	166904	177013	171960	95.65439160049631
CPB0300	KT001918.1	168550	176394	176081	95.63798850982339
CPB0300	NC_028750.1	168550	176394	176081	95.63798850982339
CPB0232	MT157285.1	166505	176182	172138	95.6046164446486
CPB0221	GU295964.1	169481	180165	174436	95.58969094841808
CPB0221	NC_014036.1	169481	180165	174436	95.58969094841808
CPB0300	MZ322895.1	167855	176394	174826	95.58396446671603
CPB0297	MZ634350.1	49277	51532	51583	95.5767832032197
CPB0232	OK631813.1	166370	176182	171960	95.57594314963434
CPB0155	MK903728.1	39568	41387	41420	95.56679990822032
CPB0223	MK903728.1	39565	41387	41420	95.55955414397333
CPB0229	MW042800.1	38459	40416	40079	95.55624572954842
CPB0889	MT157285.1	165650	174593	172138	95.5495758960116
CPB0509	MT966872.1	37807	39842	39345	95.48789574046245
CPB0482	MT966872.1	37807	39843	39345	95.48668990251048
CPB0230	MT542697.1	39042	40899	40877	95.48522793973781
CPB0274	MT542697.1	39042	40899	40877	95.48522793973781
CPB0244	MZ398245.2	39136	40590	41384	95.48393393027057
CPB0248	MH729874.1	157753	167799	162630	95.4837499129919
CPB0248	NC_055768.1	157753	167799	162630	95.4837499129919
CPB0483	MT966872.1	37801	39843	39345	95.47153609132697
CPB0248	KY000080.1	159830	167799	167034	95.46848727574641
CPB0248	NC_055715.1	159830	167799	167034	95.46848727574641
CPB0187	ON148528.1	38225	40145	39935	95.46703296703298
CPB0834	MZ612130.1	168790	175078	178532	95.46675716184497
CPB0229	MN176574.1	38551	40416	40361	95.45043762457135
CPB0462	OM194188.1	38971	40972	40699	95.43411982221352
CPB0463	OM194188.1	38971	40972	40699	95.43411982221352
CPB0464	OM194188.1	38971	40972	40699	95.43411982221352
CPB0472	OM194188.1	38971	40972	40699	95.43411982221352
CPB0479	OM194188.1	38971	40972	40699	95.43411982221352
CPB0889	HQ918180.1	166529	174593	174413	95.43045105241744
CPB0889	NC_020080.1	166529	174593	174413	95.43045105241744
CPB0300	OM971649.1	170196	176394	180310	95.4270207230645
CPB0504	MT580897.1	159907	167296	167920	95.40535057992459
CPB0481	OK631813.1	166564	177272	171960	95.38873871810142
CPB0230	MN176574.1	38738	40899	40361	95.34334235786365
CPB0477	MT708547.1	330889	347209	346937	95.3370040308523
CPB0165	MW042787.1	39229	41424	40872	95.3363468455332
CPB0165	MW042788.1	39229	41424	40872	95.3363468455332
CPB0274	MN176574.1	38726	40899	40361	95.31380753138076
CPB0187	MH172262.1	38746	40145	41161	95.3090792807419
CPB0187	NC_047969.1	38746	40145	41161	95.3090792807419
CPB0831	KF765493.2	41457	43237	43766	95.30016206337713
CPB0831	NC_023567.2	41457	43237	43766	95.30016206337713
CPB0832	KF765493.2	41455	43236	43766	95.29665984690007
CPB0832	NC_023567.2	41455	43236	43766	95.29665984690007
CPB0482	MW042810.1	38247	39843	40428	95.29468924019882
CPB0483	MW042810.1	38247	39843	40428	95.29468924019882
CPB0301	MZ322895.1	168206	178197	174826	95.29464085909417
CPB0482	MW042809.1	38246	39843	40427	95.29338482621154
CPB0483	MW042809.1	38246	39843	40427	95.29338482621154
CPB0509	MW042810.1	38246	39842	40428	95.29338482621154
CPB0509	MW042809.1	38245	39842	40427	95.29208037972317
CPB0207	OL865411.1	47573	50380	49473	95.28607052366979
CPB0469	MT708547.1	330632	347159	346937	95.2698185841728
CPB0297	MZ634348.1	49141	51532	51637	95.26311198131222
CPB0297	MN013083.1	49206	51532	51780	95.25708533374632
CPB0297	NC_049837.1	49206	51532	51780	95.25708533374632
CPB0481	MZ322895.1	167686	177272	174826	95.2496180040784
CPB0297	MW042802.1	49072	51532	51538	95.22072377995538
CPB0261	MK618658.1	37785	38789	40599	95.19070892326296
CPB0261	NC_048175.1	37785	38789	40599	95.19070892326296
CPB0260	MK618658.1	37782	38789	40599	95.18315110596059
CPB0260	NC_048175.1	37782	38789	40599	95.18315110596059
CPB0426	MH844531.1	46240	47738	49427	95.17830494519632
CPB0426	NC_048162.1	46240	47738	49427	95.17830494519632
CPB0889	OM971649.1	168855	174593	180310	95.15557772123651
CPB0301	MT157285.1	166681	178197	172138	95.15520858606762
CPB0230	MW042793.1	38556	40899	40148	95.1447925277925
CPB0230	MW042797.1	38556	40899	40148	95.1447925277925
CPB0274	MW042793.1	38556	40899	40148	95.1447925277925
CPB0274	MW042794.1	38556	40899	40148	95.1447925277925
CPB0274	MW042797.1	38556	40899	40148	95.1447925277925
CPB0230	MW042790.1	38555	40899	40148	95.14232482386763
CPB0230	MW042799.1	38555	40899	40148	95.14232482386763
CPB0230	MW042801.1	38555	40899	40148	95.14232482386763
CPB0230	MW042811.1	38555	40899	40148	95.14232482386763
CPB0230	MW042812.1	38555	40899	40148	95.14232482386763
CPB0274	MW042790.1	38555	40899	40148	95.14232482386763
CPB0274	MW042799.1	38555	40899	40148	95.14232482386763
CPB0274	MW042801.1	38555	40899	40148	95.14232482386763
CPB0274	MW042811.1	38555	40899	40148	95.14232482386763
CPB0274	MW042812.1	38555	40899	40148	95.14232482386763
CPB0230	MW042794.1	38554	40899	40148	95.13985711994275
CPB0504	MW021752.1	158916	167296	166829	95.1236812570146
CPB0181	MZ322895.1	167536	177471	174826	95.1106594719796
CPB0193	MZ322895.1	167536	177471	174826	95.1106594719796
CPB0471	OK631813.1	165286	175659	171960	95.09606782137915
CPB0504	OL870318.1	160348	167296	170051	95.06413277722939
CPB0504	MH333064.1	158466	167296	166130	95.05317521728959
CPB0504	NC_055748.1	158466	167296	166130	95.05317521728959
CPB0155	MW042787.1	39091	41387	40872	95.04370342454929
CPB0155	MW042788.1	39091	41387	40872	95.04370342454929
CPB0223	MW042787.1	39088	41387	40872	95.03640938985399
CPB0223	MW042788.1	39088	41387	40872	95.03640938985399
CPB0301	OK631813.1	166285	178197	171960	94.97739585385983
CPB0426	MT894005.1	46571	47738	50346	94.96146160433914
CPB0230	MW042791.1	38603	40899	40421	94.94097393015248
CPB0274	MW042791.1	38603	40899	40421	94.94097393015248
CPB0300	MT157285.1	165429	176394	172138	94.92901656088968
CPB0221	MZ322895.1	168492	180165	174826	94.92747703462905
CPB0877	MW042806.1	37963	40195	39792	94.92292497530849
CPB0292	HQ918180.1	166409	176279	174413	94.9032199194735
CPB0292	NC_020080.1	166409	176279	174413	94.9032199194735
CPB0256	OM938992.1	46720	49504	48957	94.90051898721322
CPB0414	KX211991.1	40691	43566	42201	94.88731097041986
CPB0414	NC_031025.1	40691	43566	42201	94.88731097041986
CPB0834	HQ918180.1	165788	175078	174413	94.87397386484918
CPB0834	NC_020080.1	165788	175078	174413	94.87397386484918
CPB0254	MH729874.1	156583	167475	162630	94.8686024143833
CPB0254	NC_055768.1	156583	167475	162630	94.8686024143833
CPB0481	MT157285.1	165698	177272	172138	94.84445207635729
CPB0177	MH844531.1	46624	48921	49427	94.81433277748404
CPB0177	NC_048162.1	46624	48921	49427	94.81433277748404
CPB0181	MT157285.1	165735	177471	172138	94.81163242365042
CPB0193	MT157285.1	165735	177471	172138	94.81163242365042
CPB0868	MT559528.1	46511	49264	48861	94.79949044585987
CPB0254	MW239157.1	157997	167475	165894	94.78805767782848
CPB0236	MT813141.1	38296	40588	40222	94.78034896671204
CPB0221	MT157285.1	166956	180165	172138	94.77977763459296
CPB0201	MT813141.1	38296	40589	40222	94.7791761022633
CPB0219	MT813141.1	38296	40589	40222	94.7791761022633
CPB0228	MT813141.1	38296	40589	40222	94.7791761022633
CPB0227	MT813141.1	38294	40586	40222	94.77774477774477
CPB0181	OK631813.1	165587	177471	171960	94.77522028669465
CPB0193	OK631813.1	165587	177471	171960	94.77522028669465
CPB0225	MT813141.1	38293	40589	40222	94.77175137048174
CPB0504	OK631811.1	156934	167296	163912	94.76461921209632
CPB0238	KT367887.1	46231	49085	48493	94.75701490089979
CPB0226	MT813141.1	38285	40589	40222	94.7519520857309
CPB0230	MW042803.1	38562	40899	40518	94.72714543645677
CPB0274	MW042803.1	38562	40899	40518	94.72714543645677
CPB0164	KX591654.1	38019	39509	40765	94.72307347335376
CPB0164	NC_047771.1	38019	39509	40765	94.72307347335376
CPB0256	MW672037.1	47142	49504	50040	94.71590452463232
CPB0300	KT001919.1	166901	176394	176055	94.70930545979702
CPB0300	NC_041981.1	166901	176394	176055	94.70930545979702
CPB0300	ON515458.1	166644	176394	175595	94.68704987939964
CPB0167	OM938992.1	46573	49443	48957	94.66056910569107
CPB0176	OM938992.1	46573	49443	48957	94.66056910569107
CPB0164	ON148529.1	37790	39509	40337	94.65721513914285
CPB0254	KY000080.1	158284	167475	167034	94.63661665306464
CPB0254	NC_055715.1	158284	167475	167034	94.63661665306464
CPB0229	MT966872.1	37741	40416	39345	94.6352227278996
CPB0221	OK631813.1	166596	180165	171960	94.62321618743343
CPB0230	MW042796.1	38501	40899	40510	94.58659361987004
CPB0230	MW042798.1	38501	40899	40510	94.58659361987004
CPB0274	MW042796.1	38501	40899	40510	94.58659361987004
CPB0274	MW042798.1	38501	40899	40510	94.58659361987004
CPB0248	MW239157.1	157812	167799	165894	94.58514263110104
CPB0230	MW042789.1	38497	40899	40511	94.57560496253532
CPB0274	MW042789.1	38497	40899	40511	94.57560496253532
CPB0254	OK631811.1	156698	167475	163912	94.57100006940526
CPB0236	KY450753.1	38378	40588	40578	94.56669048616416
CPB0236	NC_047980.1	38378	40588	40578	94.56669048616416
CPB0201	KY450753.1	38378	40589	40578	94.56552539825299
CPB0201	NC_047980.1	38378	40589	40578	94.56552539825299
CPB0226	KY450753.1	38378	40589	40578	94.56552539825299
CPB0226	NC_047980.1	38378	40589	40578	94.56552539825299
CPB0228	KY450753.1	38378	40589	40578	94.56552539825299
CPB0228	NC_047980.1	38378	40589	40578	94.56552539825299
CPB0162	KT367887.1	45968	48729	48493	94.56295900104914
CPB0225	KY450753.1	38375	40589	40578	94.5581332314857
CPB0225	NC_047980.1	38375	40589	40578	94.5581332314857
CPB0881	MN044033.1	159877	169661	168532	94.5477878016399
CPB0881	NC_048798.1	159877	169661	168532	94.5477878016399
CPB0482	KT367885.1	37791	39843	40114	94.52830896606926
CPB0482	MN585130.1	37791	39843	40114	94.52830896606926
CPB0482	NC_028688.1	37791	39843	40114	94.52830896606926
CPB0509	KT367885.1	37790	39842	40114	94.52698984441443
CPB0509	MN585130.1	37790	39842	40114	94.52698984441443
CPB0509	NC_028688.1	37790	39842	40114	94.52698984441443
CPB0504	MG751100.1	158466	167296	167989	94.52614939529057
CPB0219	KY450753.1	38361	40589	40578	94.52363645323838
CPB0219	NC_047980.1	38361	40589	40578	94.52363645323838
CPB0483	KT367885.1	37789	39843	40114	94.52330627712395
CPB0483	MN585130.1	37789	39843	40114	94.52330627712395
CPB0483	NC_028688.1	37789	39843	40114	94.52330627712395
CPB0292	OM971649.1	168479	176279	180310	94.49478250871451
