go_id	category	go_term
GO:0000100	Function	S-methylmethionine transmembrane transporter activity
GO:0000101	Process	sulfur amino acid transport
GO:0000102	Function	L-methionine secondary active transmembrane transporter activity
GO:0000103	Process	sulfate assimilation
GO:0000104	Function	succinate dehydrogenase activity
GO:0000105	Process	histidine biosynthetic process
GO:0000107	Function	imidazoleglycerol-phosphate synthase activity
GO:0000109	Component	nucleotide-excision repair complex
GO:0000110	Component	nucleotide-excision repair factor 1 complex
GO:0000111	Component	nucleotide-excision repair factor 2 complex
GO:0000112	Component	nucleotide-excision repair factor 3 complex
GO:0000113	Component	nucleotide-excision repair factor 4 complex
GO:0000117	Process	regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0000118	Component	histone deacetylase complex
GO:0000120	Component	RNA polymerase I transcription factor complex
GO:0000121	Function	glycerol-1-phosphatase activity
GO:0000122	Process	negative regulation of transcription by RNA polymerase II
GO:0000123	Component	histone acetyltransferase complex
GO:0000124	Component	SAGA complex
GO:0000125	Component	PCAF complex
GO:0000126	Component	transcription factor TFIIIB complex
GO:0000127	Component	transcription factor TFIIIC complex
GO:0000128	Process	flocculation
GO:0000131	Component	incipient cellular bud site
GO:0000132	Process	establishment of mitotic spindle orientation
GO:0000133	Component	polarisome
GO:0000136	Component	alpha-1,6-mannosyltransferase complex
GO:0000137	Component	Golgi cis cisterna
GO:0000138	Component	Golgi trans cisterna
GO:0000139	Component	Golgi membrane
GO:0000140	Function	acylglycerone-phosphate reductase activity
GO:0000142	Component	cellular bud neck contractile ring
GO:0000144	Component	cellular bud neck septin ring
GO:0000145	Component	exocyst
GO:0000146	Function	microfilament motor activity
GO:0000147	Process	actin cortical patch assembly
GO:0000148	Component	1,3-beta-D-glucan synthase complex
GO:0000149	Function	SNARE binding
GO:0000150	Function	recombinase activity
GO:0000151	Component	ubiquitin ligase complex
GO:0000152	Component	nuclear ubiquitin ligase complex
GO:0000153	Component	cytoplasmic ubiquitin ligase complex
GO:0000154	Process	rRNA modification
GO:0000155	Function	phosphorelay sensor kinase activity
GO:0000156	Function	phosphorelay response regulator activity
GO:0000159	Component	protein phosphatase type 2A complex
GO:0000160	Process	phosphorelay signal transduction system
GO:0000161	Process	osmosensory signaling MAPK cascade
GO:0000162	Process	tryptophan biosynthetic process
GO:0000164	Component	protein phosphatase type 1 complex
GO:0000165	Process	MAPK cascade
GO:0000166	Function	nucleotide binding
GO:0000170	Function	sphingosine hydroxylase activity
GO:0000171	Function	ribonuclease MRP activity
GO:0000172	Component	ribonuclease MRP complex
GO:0000173	Process	inactivation of MAPK activity involved in osmosensory signaling pathway
GO:0000175	Function	3'-5'-exoribonuclease activity
GO:0000176	Component	nuclear exosome (RNase complex)
GO:0000177	Component	cytoplasmic exosome (RNase complex)
GO:0000178	Component	exosome (RNase complex)
GO:0000179	Function	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0000182	Function	rDNA binding
GO:0000183	Process	chromatin silencing at rDNA
GO:0000184	Process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000185	Process	activation of MAPKKK activity
GO:0000186	Process	activation of MAPKK activity
GO:0000187	Process	activation of MAPK activity
GO:0000188	Process	inactivation of MAPK activity
GO:0000196	Process	cell wall integrity MAPK cascade
GO:0000209	Process	protein polyubiquitination
GO:0000210	Function	NAD+ diphosphatase activity
GO:0000212	Process	meiotic spindle organization
GO:0000213	Function	tRNA-intron endonuclease activity
GO:0000214	Component	tRNA-intron endonuclease complex
GO:0000215	Function	tRNA 2'-phosphotransferase activity
GO:0000217	Function	DNA secondary structure binding
GO:0000220	Component	vacuolar proton-transporting V-type ATPase, V0 domain
GO:0000221	Component	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0000224	Function	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
GO:0000225	Function	N-acetylglucosaminylphosphatidylinositol deacetylase activity
GO:0000226	Process	microtubule cytoskeleton organization
GO:0000228	Component	nuclear chromosome
GO:0000234	Function	phosphoethanolamine N-methyltransferase activity
GO:0000235	Component	astral microtubule
GO:0000237	Process	leptotene
GO:0000238	Process	zygotene
GO:0000239	Process	pachytene
GO:0000242	Component	pericentriolar material
GO:0000243	Component	commitment complex
GO:0000244	Process	spliceosomal tri-snRNP complex assembly
GO:0000245	Process	spliceosomal complex assembly
GO:0000246	Function	delta24(24-1) sterol reductase activity
GO:0000247	Function	C-8 sterol isomerase activity
GO:0000248	Function	C-5 sterol desaturase activity
GO:0000249	Function	C-22 sterol desaturase activity
GO:0000250	Function	lanosterol synthase activity
GO:0000252	Function	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity
GO:0000253	Function	3-keto sterol reductase activity
GO:0000254	Function	C-4 methylsterol oxidase activity
GO:0000255	Process	allantoin metabolic process
GO:0000256	Process	allantoin catabolic process
GO:0000257	Function	nitrilase activity
GO:0000262	Component	mitochondrial chromosome
GO:0000266	Process	mitochondrial fission
GO:0000268	Function	peroxisome targeting sequence binding
GO:0000270	Process	peptidoglycan metabolic process
GO:0000271	Process	polysaccharide biosynthetic process
GO:0000272	Process	polysaccharide catabolic process
GO:0000274	Component	mitochondrial proton-transporting ATP synthase, stator stalk
GO:0000275	Component	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)
GO:0000276	Component	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000277	Function	[cytochrome c]-lysine N-methyltransferase activity
GO:0000278	Process	mitotic cell cycle
GO:0000280	Process	nuclear division
GO:0000281	Process	mitotic cytokinesis
GO:0000282	Process	cellular bud site selection
GO:0000285	Function	1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000286	Function	alanine dehydrogenase activity
GO:0000287	Function	magnesium ion binding
GO:0000288	Process	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO:0000289	Process	nuclear-transcribed mRNA poly(A) tail shortening
GO:0000290	Process	deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0000291	Process	nuclear-transcribed mRNA catabolic process, exonucleolytic
GO:0000292	Process	RNA fragment catabolic process
GO:0000293	Function	ferric-chelate reductase activity
GO:0000294	Process	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay
GO:0000295	Function	adenine nucleotide transmembrane transporter activity
GO:0000296	Process	spermine transport
GO:0000297	Function	spermine transmembrane transporter activity
GO:0000298	Function	endopolyphosphatase activity
GO:0000301	Process	retrograde transport, vesicle recycling within Golgi
GO:0000302	Process	response to reactive oxygen species
GO:0000303	Process	response to superoxide
GO:0000304	Process	response to singlet oxygen
GO:0000305	Process	response to oxygen radical
GO:0000306	Component	extrinsic component of vacuolar membrane
GO:0000307	Component	cyclin-dependent protein kinase holoenzyme complex
GO:0000308	Component	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
GO:0000309	Function	nicotinamide-nucleotide adenylyltransferase activity
GO:0000310	Function	xanthine phosphoribosyltransferase activity
GO:0000311	Component	plastid large ribosomal subunit
GO:0000312	Component	plastid small ribosomal subunit
GO:0000314	Component	organellar small ribosomal subunit
GO:0000315	Component	organellar large ribosomal subunit
GO:0000316	Process	sulfite transport
GO:0000319	Function	sulfite transmembrane transporter activity
GO:0000320	Process	re-entry into mitotic cell cycle
GO:0000321	Process	re-entry into mitotic cell cycle after pheromone arrest
GO:0000322	Component	storage vacuole
GO:0000323	Component	lytic vacuole
GO:0000324	Component	fungal-type vacuole
GO:0000325	Component	plant-type vacuole
GO:0000326	Component	protein storage vacuole
GO:0000327	Component	lytic vacuole within protein storage vacuole
GO:0000328	Component	fungal-type vacuole lumen
GO:0000329	Component	fungal-type vacuole membrane
GO:0000331	Component	contractile vacuole
GO:0000332	Function	template for synthesis of G-rich strand of telomere DNA activity
GO:0000333	Component	telomerase catalytic core complex
GO:0000334	Function	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0000335	Process	negative regulation of transposition, DNA-mediated
GO:0000338	Process	protein deneddylation
GO:0000339	Function	RNA cap binding
GO:0000340	Function	RNA 7-methylguanosine cap binding
GO:0000341	Function	RNA trimethylguanosine cap binding
GO:0000345	Component	cytosolic DNA-directed RNA polymerase complex
GO:0000346	Component	transcription export complex
GO:0000347	Component	THO complex
GO:0000348	Process	mRNA branch site recognition
GO:0000349	Process	generation of catalytic spliceosome for first transesterification step
GO:0000350	Process	generation of catalytic spliceosome for second transesterification step
GO:0000353	Process	formation of quadruple SL/U4/U5/U6 snRNP
GO:0000354	Process	cis assembly of pre-catalytic spliceosome
GO:0000372	Process	Group I intron splicing
GO:0000373	Process	Group II intron splicing
GO:0000374	Process	Group III intron splicing
GO:0000375	Process	RNA splicing, via transesterification reactions
GO:0000376	Process	RNA splicing, via transesterification reactions with guanosine as nucleophile
GO:0000378	Process	RNA exon ligation
GO:0000379	Process	tRNA-type intron splice site recognition and cleavage
GO:0000380	Process	alternative mRNA splicing, via spliceosome
GO:0000381	Process	regulation of alternative mRNA splicing, via spliceosome
GO:0000384	Function	first spliceosomal transesterification activity
GO:0000386	Function	second spliceosomal transesterification activity
GO:0000387	Process	spliceosomal snRNP assembly
GO:0000388	Process	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO:0000389	Process	mRNA 3'-splice site recognition
GO:0000390	Process	spliceosomal complex disassembly
GO:0000393	Process	spliceosomal conformational changes to generate catalytic conformation
GO:0000394	Process	RNA splicing, via endonucleolytic cleavage and ligation
GO:0000395	Process	mRNA 5'-splice site recognition
GO:0000398	Process	mRNA splicing, via spliceosome
GO:0000400	Function	four-way junction DNA binding
GO:0000401	Function	open form four-way junction DNA binding
GO:0000402	Function	crossed form four-way junction DNA binding
GO:0000403	Function	Y-form DNA binding
GO:0000404	Function	heteroduplex DNA loop binding
GO:0000405	Function	bubble DNA binding
GO:0000406	Function	double-strand/single-strand DNA junction binding
GO:0000407	Component	phagophore assembly site
GO:0000408	Component	EKC/KEOPS complex
GO:0000411	Process	positive regulation of transcription by galactose
GO:0000412	Process	histone peptidyl-prolyl isomerization
GO:0000413	Process	protein peptidyl-prolyl isomerization
GO:0000414	Process	regulation of histone H3-K36 methylation
GO:0000415	Process	negative regulation of histone H3-K36 methylation
GO:0000416	Process	positive regulation of histone H3-K36 methylation
GO:0000417	Component	HIR complex
GO:0000418	Component	RNA polymerase IV complex
GO:0000419	Component	RNA polymerase V complex
GO:0000421	Component	autophagosome membrane
GO:0000422	Process	autophagy of mitochondrion
GO:0000423	Process	mitophagy
GO:0000425	Process	pexophagy
GO:0000427	Component	plastid-encoded plastid RNA polymerase complex
GO:0000429	Process	carbon catabolite regulation of transcription from RNA polymerase II promoter
GO:0000430	Process	regulation of transcription from RNA polymerase II promoter by glucose
GO:0000432	Process	positive regulation of transcription from RNA polymerase II promoter by glucose
GO:0000433	Process	carbon catabolite repression of transcription from RNA polymerase II promoter by glucose
GO:0000435	Process	positive regulation of transcription from RNA polymerase II promoter by galactose
GO:0000436	Process	carbon catabolite activation of transcription from RNA polymerase II promoter
GO:0000437	Process	carbon catabolite repression of transcription from RNA polymerase II promoter
GO:0000438	Component	core TFIIH complex portion of holo TFIIH complex
GO:0000439	Component	transcription factor TFIIH core complex
GO:0000444	Component	MIS12/MIND type complex
GO:0000445	Component	THO complex part of transcription export complex
GO:0000446	Component	nucleoplasmic THO complex
GO:0000447	Process	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000448	Process	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000451	Process	rRNA 2'-O-methylation
GO:0000453	Process	enzyme-directed rRNA 2'-O-methylation
GO:0000454	Process	snoRNA guided rRNA pseudouridine synthesis
GO:0000455	Process	enzyme-directed rRNA pseudouridine synthesis
GO:0000460	Process	maturation of 5.8S rRNA
GO:0000461	Process	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000462	Process	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000463	Process	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000464	Process	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000465	Process	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000466	Process	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000467	Process	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000469	Process	cleavage involved in rRNA processing
GO:0000470	Process	maturation of LSU-rRNA
GO:0000472	Process	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000476	Process	maturation of 4.5S rRNA
GO:0000478	Process	endonucleolytic cleavage involved in rRNA processing
GO:0000479	Process	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000480	Process	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000481	Process	maturation of 5S rRNA
GO:0000483	Process	endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000488	Process	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO:0000489	Process	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO:0000491	Process	small nucleolar ribonucleoprotein complex assembly
GO:0000492	Process	box C/D snoRNP assembly
GO:0000493	Process	box H/ACA snoRNP assembly
GO:0000494	Process	box C/D snoRNA 3'-end processing
GO:0000495	Process	box H/ACA snoRNA 3'-end processing
GO:0000500	Component	RNA polymerase I upstream activating factor complex
GO:0000502	Component	proteasome complex
GO:0000506	Component	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0000578	Process	embryonic axis specification
GO:0000701	Function	purine-specific mismatch base pair DNA N-glycosylase activity
GO:0000702	Function	oxidized base lesion DNA N-glycosylase activity
GO:0000703	Function	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
GO:0000705	Process	achiasmate meiosis I
GO:0000706	Process	meiotic DNA double-strand break processing
GO:0000707	Process	meiotic DNA recombinase assembly
GO:0000708	Process	meiotic strand invasion
GO:0000709	Process	meiotic joint molecule formation
GO:0000710	Process	meiotic mismatch repair
GO:0000711	Process	meiotic DNA repair synthesis
GO:0000712	Process	resolution of meiotic recombination intermediates
GO:0000713	Process	meiotic heteroduplex formation
GO:0000715	Process	nucleotide-excision repair, DNA damage recognition
GO:0000716	Process	transcription-coupled nucleotide-excision repair, DNA damage recognition
GO:0000717	Process	nucleotide-excision repair, DNA duplex unwinding
GO:0000718	Process	nucleotide-excision repair, DNA damage removal
GO:0000719	Process	photoreactive repair
GO:0000720	Process	pyrimidine dimer repair by nucleotide-excision repair
GO:0000721	Function	(R,R)-butanediol dehydrogenase activity
GO:0000722	Process	telomere maintenance via recombination
GO:0000723	Process	telomere maintenance
GO:0000724	Process	double-strand break repair via homologous recombination
GO:0000725	Process	recombinational repair
GO:0000726	Process	non-recombinational repair
GO:0000727	Process	double-strand break repair via break-induced replication
GO:0000728	Process	gene conversion at mating-type locus, DNA double-strand break formation
GO:0000729	Process	DNA double-strand break processing
GO:0000730	Process	DNA recombinase assembly
GO:0000731	Process	DNA synthesis involved in DNA repair
GO:0000732	Process	strand displacement
GO:0000733	Process	DNA strand renaturation
GO:0000734	Process	gene conversion at mating-type locus, DNA repair synthesis
GO:0000735	Process	removal of nonhomologous ends
GO:0000736	Process	double-strand break repair via single-strand annealing, removal of nonhomologous ends
GO:0000737	Process	DNA catabolic process, endonucleolytic
GO:0000738	Process	DNA catabolic process, exonucleolytic
GO:0000740	Process	nuclear membrane fusion
GO:0000741	Process	karyogamy
GO:0000742	Process	karyogamy involved in conjugation with cellular fusion
GO:0000743	Process	nuclear migration involved in conjugation with cellular fusion
GO:0000746	Process	conjugation
GO:0000747	Process	conjugation with cellular fusion
GO:0000749	Process	response to pheromone triggering conjugation with cellular fusion
GO:0000750	Process	pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0000751	Process	mitotic cell cycle G1 arrest in response to pheromone
GO:0000752	Process	agglutination involved in conjugation with cellular fusion
GO:0000753	Process	cell morphogenesis involved in conjugation with cellular fusion
GO:0000754	Process	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
GO:0000755	Process	cytogamy
GO:0000767	Process	cell morphogenesis involved in conjugation
GO:0000768	Process	syncytium formation by plasma membrane fusion
GO:0000769	Process	syncytium formation by mitosis without cytokinesis
GO:0000770	Process	peptide pheromone export
GO:0000772	Function	mating pheromone activity
GO:0000773	Function	phosphatidyl-N-methylethanolamine N-methyltransferase activity
GO:0000774	Function	adenyl-nucleotide exchange factor activity
GO:0000775	Component	chromosome, centromeric region
GO:0000776	Component	kinetochore
GO:0000777	Component	condensed chromosome kinetochore
GO:0000778	Component	condensed nuclear chromosome kinetochore
GO:0000779	Component	condensed chromosome, centromeric region
GO:0000780	Component	condensed nuclear chromosome, centromeric region
GO:0000781	Component	chromosome, telomeric region
GO:0000782	Component	telomere cap complex
GO:0000783	Component	nuclear telomere cap complex
GO:0000784	Component	nuclear chromosome, telomeric region
GO:0000785	Component	chromatin
GO:0000786	Component	nucleosome
GO:0000787	Component	cytoplasmic nucleosome
GO:0000788	Component	nuclear nucleosome
GO:0000789	Component	cytoplasmic chromatin
GO:0000790	Component	nuclear chromatin
GO:0000791	Component	euchromatin
GO:0000792	Component	heterochromatin
GO:0000793	Component	condensed chromosome
GO:0000794	Component	condensed nuclear chromosome
GO:0000795	Component	synaptonemal complex
GO:0000796	Component	condensin complex
GO:0000797	Component	condensin core heterodimer
GO:0000798	Component	nuclear cohesin complex
GO:0000799	Component	nuclear condensin complex
GO:0000800	Component	lateral element
GO:0000801	Component	central element
GO:0000802	Component	transverse filament
GO:0000803	Component	sex chromosome
GO:0000805	Component	X chromosome
GO:0000806	Component	Y chromosome
GO:0000808	Component	origin recognition complex
GO:0000810	Function	diacylglycerol diphosphate phosphatase activity
GO:0000811	Component	GINS complex
GO:0000812	Component	Swr1 complex
GO:0000813	Component	ESCRT I complex
GO:0000814	Component	ESCRT II complex
GO:0000815	Component	ESCRT III complex
GO:0000817	Component	COMA complex
GO:0000818	Component	nuclear MIS12/MIND complex
GO:0000819	Process	sister chromatid segregation
GO:0000820	Process	regulation of glutamine family amino acid metabolic process
GO:0000821	Process	regulation of arginine metabolic process
GO:0000822	Function	inositol hexakisphosphate binding
GO:0000823	Function	inositol-1,4,5-trisphosphate 6-kinase activity
GO:0000824	Function	inositol tetrakisphosphate 3-kinase activity
GO:0000825	Function	inositol tetrakisphosphate 6-kinase activity
GO:0000827	Function	inositol-1,3,4,5,6-pentakisphosphate kinase activity
GO:0000828	Function	inositol hexakisphosphate kinase activity
GO:0000829	Function	inositol heptakisphosphate kinase activity
GO:0000830	Function	inositol hexakisphosphate 4-kinase activity
GO:0000831	Function	inositol hexakisphosphate 6-kinase activity
GO:0000832	Function	inositol hexakisphosphate 5-kinase activity
GO:0000835	Component	ER ubiquitin ligase complex
GO:0000836	Component	Hrd1p ubiquitin ligase complex
GO:0000837	Component	Doa10p ubiquitin ligase complex
GO:0000838	Component	Hrd1p ubiquitin ligase ERAD-M complex
GO:0000839	Component	Hrd1p ubiquitin ligase ERAD-L complex
GO:0000900	Function	translation repressor activity, mRNA regulatory element binding
GO:0000901	Function	translation repressor activity, non-nucleic acid binding
GO:0000902	Process	cell morphogenesis
GO:0000904	Process	cell morphogenesis involved in differentiation
GO:0000905	Process	sporocarp development involved in asexual reproduction
GO:0000906	Function	6,7-dimethyl-8-ribityllumazine synthase activity
GO:0000907	Function	sulfonate dioxygenase activity
GO:0000908	Function	taurine dioxygenase activity
GO:0000909	Process	sporocarp development involved in sexual reproduction
GO:0000910	Process	cytokinesis
GO:0000911	Process	cytokinesis by cell plate formation
GO:0000912	Process	assembly of actomyosin apparatus involved in cytokinesis
GO:0000913	Process	preprophase band assembly
GO:0000914	Process	phragmoplast assembly
GO:0000915	Process	actomyosin contractile ring assembly
GO:0000916	Process	actomyosin contractile ring contraction
GO:0000917	Process	division septum assembly
GO:0000918	Process	division septum site selection
GO:0000919	Process	cell plate assembly
GO:0000920	Process	septum digestion after cytokinesis
GO:0000921	Process	septin ring assembly
GO:0000922	Component	spindle pole
GO:0000923	Component	equatorial microtubule organizing center
GO:0000924	Component	gamma-tubulin ring complex, centrosomal
GO:0000928	Component	gamma-tubulin small complex, spindle pole body
GO:0000930	Component	gamma-tubulin complex
GO:0000931	Component	gamma-tubulin large complex
GO:0000932	Component	P-body
GO:0000934	Component	porous cell septum
GO:0000935	Component	division septum
GO:0000936	Component	primary cell septum
GO:0000938	Component	GARP complex
GO:0000939	Component	condensed chromosome inner kinetochore
GO:0000940	Component	condensed chromosome outer kinetochore
GO:0000941	Component	condensed nuclear chromosome inner kinetochore
GO:0000942	Component	condensed nuclear chromosome outer kinetochore
GO:0000943	Component	retrotransposon nucleocapsid
GO:0000947	Process	amino acid catabolic process to alcohol via Ehrlich pathway
GO:0000949	Process	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway
GO:0000950	Process	branched-chain amino acid catabolic process to alcohol via Ehrlich pathway
GO:0000951	Process	methionine catabolic process to 3-methylthiopropanol
GO:0000955	Process	amino acid catabolic process via Ehrlich pathway
GO:0000956	Process	nuclear-transcribed mRNA catabolic process
GO:0000957	Process	mitochondrial RNA catabolic process
GO:0000958	Process	mitochondrial mRNA catabolic process
GO:0000959	Process	mitochondrial RNA metabolic process
GO:0000961	Process	negative regulation of mitochondrial RNA catabolic process
GO:0000962	Process	positive regulation of mitochondrial RNA catabolic process
GO:0000963	Process	mitochondrial RNA processing
GO:0000964	Process	mitochondrial RNA 5'-end processing
GO:0000965	Process	mitochondrial RNA 3'-end processing
GO:0000966	Process	RNA 5'-end processing
GO:0000967	Process	rRNA 5'-end processing
GO:0000971	Process	tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate
GO:0000972	Process	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000973	Process	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000974	Component	Prp19 complex
GO:0000976	Function	transcription regulatory region sequence-specific DNA binding
GO:0000977	Function	RNA polymerase II regulatory region sequence-specific DNA binding
GO:0000978	Function	RNA polymerase II proximal promoter sequence-specific DNA binding
GO:0000979	Function	RNA polymerase II core promoter sequence-specific DNA binding
GO:0000981	Function	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0000984	Function	bacterial-type RNA polymerase regulatory region sequence-specific DNA binding
GO:0000985	Function	bacterial-type RNA polymerase core promoter sequence-specific DNA binding
GO:0000986	Function	bacterial-type proximal promoter sequence-specific DNA binding
GO:0000987	Function	proximal promoter sequence-specific DNA binding
GO:0000993	Function	RNA polymerase II complex binding
GO:0000994	Function	RNA polymerase III core binding
GO:0000995	Function	RNA polymerase III general transcription initiation factor activity
GO:0001000	Function	bacterial-type RNA polymerase core enzyme binding
GO:0001002	Function	RNA polymerase III type 1 promoter sequence-specific DNA binding
GO:0001003	Function	RNA polymerase III type 2 promoter sequence-specific DNA binding
GO:0001006	Function	RNA polymerase III type 3 promoter sequence-specific DNA binding
GO:0001010	Function	RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity
GO:0001012	Function	RNA polymerase II regulatory region DNA binding
GO:0001013	Function	RNA polymerase I regulatory region DNA binding
GO:0001015	Process	snoRNA transcription by RNA polymerase II
GO:0001016	Function	RNA polymerase III regulatory region DNA binding
GO:0001017	Function	bacterial-type RNA polymerase regulatory region DNA binding
GO:0001018	Function	mitochondrial promoter sequence-specific DNA binding
GO:0001030	Function	RNA polymerase III type 1 promoter DNA binding
GO:0001031	Function	RNA polymerase III type 2 promoter DNA binding
GO:0001032	Function	RNA polymerase III type 3 promoter DNA binding
GO:0001042	Function	RNA polymerase I core binding
GO:0001046	Function	core promoter sequence-specific DNA binding
GO:0001047	Function	core promoter binding
GO:0001054	Function	RNA polymerase I activity
GO:0001055	Function	RNA polymerase II activity
GO:0001056	Function	RNA polymerase III activity
