COG	func	name	level_1	level_2
COG4659	C	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfG subunit	METABOLISM	Energy production and conversion
COG1013	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit	METABOLISM	Energy production and conversion
COG1145	C	Ferredoxin	METABOLISM	Energy production and conversion
COG4657	C	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit	METABOLISM	Energy production and conversion
COG2717	C	Periplasmic DMSO/TMAO reductase YedYZ, heme-binding membrane subunit	METABOLISM	Energy production and conversion
COG3312	C	FoF1-type ATP synthase assembly protein I	METABOLISM	Energy production and conversion
COG0114	C	Fumarate hydratase class II	METABOLISM	Energy production and conversion
COG4459	C	Periplasmic nitrate reductase system, NapE component	METABOLISM	Energy production and conversion
COG1141	C	Ferredoxin	METABOLISM	Energy production and conversion
COG1347	C	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD	METABOLISM	Energy production and conversion
COG1679	C	Predicted aconitase	METABOLISM	Energy production and conversion
COG2421	C	Acetamidase/formamidase	METABOLISM	Energy production and conversion
COG1394	C	Archaeal/vacuolar-type H+-ATPase subunit D/Vma8	METABOLISM	Energy production and conversion
COG1927	C	F420-dependent methylenetetrahydromethanopterin dehydrogenase	METABOLISM	Energy production and conversion
COG1007	C	NADH:ubiquinone oxidoreductase subunit 2 (chain N)	METABOLISM	Energy production and conversion
COG0508	C	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component	METABOLISM	Energy production and conversion
COG1902	C	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	METABOLISM	Energy production and conversion
COG0655	C	Multimeric flavodoxin WrbA	METABOLISM	Energy production and conversion
COG1941	C	Coenzyme F420-reducing hydrogenase, gamma subunit	METABOLISM	Energy production and conversion
COG0045	C	Succinyl-CoA synthetase, beta subunit	METABOLISM	Energy production and conversion
COG0240	C	Glycerol-3-phosphate dehydrogenase	METABOLISM	Energy production and conversion
COG1251	C	NAD(P)H-nitrite reductase, large subunit	METABOLISM	Energy production and conversion
COG4106	C	Trans-aconitate methyltransferase	METABOLISM	Energy production and conversion
COG1456	C	CO dehydrogenase/acetyl-CoA synthase gamma subunit (corrinoid Fe-S protein)	METABOLISM	Energy production and conversion
COG3181	C	Tripartite-type tricarboxylate transporter, receptor component TctC	METABOLISM	Energy production and conversion
COG0712	C	FoF1-type ATP synthase, delta subunit	METABOLISM	Energy production and conversion
COG3411	C	(2Fe-2S) ferredoxin	METABOLISM	Energy production and conversion
COG0437	C	Fe-S-cluster-containing dehydrogenase component	METABOLISM	Energy production and conversion
COG1014	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit	METABOLISM	Energy production and conversion
COG2048	C	Heterodisulfide reductase, subunit B	METABOLISM	Energy production and conversion
COG1845	C	Heme/copper-type cytochrome/quinol oxidase, subunit 3	METABOLISM	Energy production and conversion
COG4038	C	Energy-converting hydrogenase Eha subunit E	METABOLISM	Energy production and conversion
COG2828	C	2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway)	METABOLISM	Energy production and conversion
COG1142	C	Fe-S-cluster-containing hydrogenase component 2	METABOLISM	Energy production and conversion
COG4237	C	Hydrogenase-4 membrane subunit HyfE	METABOLISM	Energy production and conversion
COG4656	C	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit	METABOLISM	Energy production and conversion
COG4074	C	5,10-methenyltetrahydromethanopterin hydrogenase	METABOLISM	Energy production and conversion
COG1979	C	Alcohol dehydrogenase YqhD, Fe-dependent ADH family	METABOLISM	Energy production and conversion
COG3808	C	Na+ or H+-translocating membrane pyrophosphatase	METABOLISM	Energy production and conversion
COG5012	C	Methanogenic corrinoid protein MtbC1	METABOLISM	Energy production and conversion
COG1390	C	Archaeal/vacuolar-type H+-ATPase subunit E/Vma4	METABOLISM	Energy production and conversion
COG3241	C	Azurin	METABOLISM	Energy production and conversion
COG2863	C	Cytochrome c553	METABOLISM	Energy production and conversion
COG2025	C	Electron transfer flavoprotein, alpha subunit	METABOLISM	Energy production and conversion
COG1866	C	Phosphoenolpyruvate carboxykinase, ATP-dependent	METABOLISM	Energy production and conversion
COG1143	C	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	METABOLISM	Energy production and conversion
COG1071	C	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha	METABOLISM	Energy production and conversion
COG1740	C	Ni,Fe-hydrogenase I small subunit	METABOLISM	Energy production and conversion
COG1592	C	Rubrerythrin	METABOLISM	Energy production and conversion
COG1757	C	Na+/H+ antiporter NhaC	METABOLISM	Energy production and conversion
COG1249	C	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	METABOLISM	Energy production and conversion
COG2864	C	Cytochrome b subunit of formate dehydrogenase	METABOLISM	Energy production and conversion
COG5605	C	Cytochrome c oxidase subunit IV	METABOLISM	Energy production and conversion
COG1529	C	CO or xanthine dehydrogenase, Mo-binding subunit	METABOLISM	Energy production and conversion
COG3052	C	Citrate lyase, gamma subunit	METABOLISM	Energy production and conversion
COG1951	C	Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain	METABOLISM	Energy production and conversion
COG1048	C	Aconitase A	METABOLISM	Energy production and conversion
COG0055	C	FoF1-type ATP synthase, beta subunit	METABOLISM	Energy production and conversion
COG1182	C	FMN-dependent NADH-azoreductase	METABOLISM	Energy production and conversion
COG2191	C	Formylmethanofuran dehydrogenase subunit E	METABOLISM	Energy production and conversion
COG1049	C	Aconitase B	METABOLISM	Energy production and conversion
COG4658	C	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfD subunit	METABOLISM	Energy production and conversion
COG0356	C	FoF1-type ATP synthase, membrane subunit a	METABOLISM	Energy production and conversion
COG1882	C	Pyruvate-formate lyase	METABOLISM	Energy production and conversion
COG1139	C	L-lactate utilization protein LutB, contains a ferredoxin-type domain	METABOLISM	Energy production and conversion
COG3474	C	Cytochrome c2	METABOLISM	Energy production and conversion
COG2838	C	Monomeric isocitrate dehydrogenase	METABOLISM	Energy production and conversion
COG2086	C	Electron transfer flavoprotein, alpha and beta subunits	METABOLISM	Energy production and conversion
COG0074	C	Succinyl-CoA synthetase, alpha subunit	METABOLISM	Energy production and conversion
COG0839	C	NADH:ubiquinone oxidoreductase subunit 6 (chain J)	METABOLISM	Energy production and conversion
COG1150	C	Heterodisulfide reductase, subunit C	METABOLISM	Energy production and conversion
COG0633	C	Ferredoxin	METABOLISM	Energy production and conversion
COG2041	C	Periplasmic DMSO/TMAO reductase YedYZ, molybdopterin-dependent catalytic subunit	METABOLISM	Energy production and conversion
COG0022	C	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	METABOLISM	Energy production and conversion
COG3978	C	Acetolactate synthase small subunit, contains ACT domain	METABOLISM	Energy production and conversion
COG1905	C	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)	METABOLISM	Energy production and conversion
COG2055	C	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family	METABOLISM	Energy production and conversion
COG0435	C	Glutathionyl-hydroquinone reductase	METABOLISM	Energy production and conversion
COG5336	C	FoF1-type ATP synthase assembly protein I	METABOLISM	Energy production and conversion
COG1029	C	Formylmethanofuran dehydrogenase subunit B	METABOLISM	Energy production and conversion
COG4221	C	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	METABOLISM	Energy production and conversion
COG2871	C	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF	METABOLISM	Energy production and conversion
COG3038	C	Cytochrome b561	METABOLISM	Energy production and conversion
COG0852	C	NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)	METABOLISM	Energy production and conversion
COG2993	C	Cbb3-type cytochrome oxidase, cytochrome c subunit	METABOLISM	Energy production and conversion
COG0636	C	FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K	METABOLISM	Energy production and conversion
COG3125	C	Heme/copper-type cytochrome/quinol oxidase, subunit 4	METABOLISM	Energy production and conversion
COG1035	C	Coenzyme F420-reducing hydrogenase, beta subunit	METABOLISM	Energy production and conversion
COG1883	C	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit	METABOLISM	Energy production and conversion
COG1005	C	NADH:ubiquinone oxidoreductase subunit 1 (chain H)	METABOLISM	Energy production and conversion
COG1290	C	Cytochrome b subunit of the bc complex	METABOLISM	Energy production and conversion
COG0778	C	Nitroreductase	METABOLISM	Energy production and conversion
COG3051	C	Citrate lyase, alpha subunit	METABOLISM	Energy production and conversion
COG0538	C	Isocitrate dehydrogenase	METABOLISM	Energy production and conversion
COG1012	C	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	METABOLISM	Energy production and conversion
COG2037	C	Formylmethanofuran:tetrahydromethanopterin formyltransferase	METABOLISM	Energy production and conversion
COG4037	C	Energy-converting hydrogenase Eha subunit F	METABOLISM	Energy production and conversion
COG0056	C	FoF1-type ATP synthase, alpha subunit	METABOLISM	Energy production and conversion
COG4802	C	Ferredoxin-thioredoxin reductase, catalytic subunit	METABOLISM	Energy production and conversion
COG4042	C	Energy-converting hydrogenase Eha subunit A	METABOLISM	Energy production and conversion
COG3261	C	Ni,Fe-hydrogenase III large subunit	METABOLISM	Energy production and conversion
COG2069	C	CO dehydrogenase/acetyl-CoA synthase delta subunit (corrinoid Fe-S protein)	METABOLISM	Energy production and conversion
COG1319	C	CO or xanthine dehydrogenase, FAD-binding subunit	METABOLISM	Energy production and conversion
COG2218	C	Formylmethanofuran dehydrogenase subunit C	METABOLISM	Energy production and conversion
COG2414	C	Aldehyde:ferredoxin oxidoreductase	METABOLISM	Energy production and conversion
COG1008	C	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	METABOLISM	Energy production and conversion
COG0723	C	Rieske Fe-S protein	METABOLISM	Energy production and conversion
COG0277	C	FAD/FMN-containing dehydrogenase	METABOLISM	Energy production and conversion
COG1282	C	NAD/NADP transhydrogenase beta subunit	METABOLISM	Energy production and conversion
COG0644	C	Dehydrogenase (flavoprotein)	METABOLISM	Energy production and conversion
COG1969	C	Ni,Fe-hydrogenase I cytochrome b subunit	METABOLISM	Energy production and conversion
COG1271	C	Cytochrome bd-type quinol oxidase, subunit 1	METABOLISM	Energy production and conversion
COG1436	C	Archaeal/vacuolar-type H+-ATPase subunit F/Vma7	METABOLISM	Energy production and conversion
COG2326	C	Polyphosphate kinase 2, PPK2 family	METABOLISM	Energy production and conversion
COG3053	C	Citrate lyase synthetase	METABOLISM	Energy production and conversion
COG1614	C	CO dehydrogenase/acetyl-CoA synthase beta subunit	METABOLISM	Energy production and conversion
COG1894	C	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)	METABOLISM	Energy production and conversion
COG0843	C	Heme/copper-type cytochrome/quinol oxidase, subunit 1	METABOLISM	Energy production and conversion
COG3783	C	Soluble cytochrome b562	METABOLISM	Energy production and conversion
COG3005	C	Tetraheme cytochrome c subunit of nitrate or TMAO reductase	METABOLISM	Energy production and conversion
COG2352	C	Phosphoenolpyruvate carboxylase	METABOLISM	Energy production and conversion
COG4036	C	Energy-converting hydrogenase Eha subunit G	METABOLISM	Energy production and conversion
COG1622	C	Heme/copper-type cytochrome/quinol oxidase, subunit 2	METABOLISM	Energy production and conversion
COG1527	C	Archaeal/vacuolar-type H+-ATPase subunit C/Vma6	METABOLISM	Energy production and conversion
COG4736	C	Cbb3-type cytochrome oxidase, subunit 3	METABOLISM	Energy production and conversion
COG0281	C	Malic enzyme	METABOLISM	Energy production and conversion
COG3794	C	Plastocyanin	METABOLISM	Energy production and conversion
COG3288	C	NAD/NADP transhydrogenase alpha subunit	METABOLISM	Energy production and conversion
COG4624	C	Iron only hydrogenase large subunit, C-terminal domain	METABOLISM	Energy production and conversion
COG0280	C	Phosphotransacetylase	METABOLISM	Energy production and conversion
COG0039	C	Malate/lactate dehydrogenase	METABOLISM	Energy production and conversion
COG1620	C	L-lactate permease	METABOLISM	Energy production and conversion
COG0355	C	FoF1-type ATP synthase, epsilon subunit	METABOLISM	Energy production and conversion
COG1526	C	Formate dehydrogenase assembly factor FdhD	METABOLISM	Energy production and conversion
COG1359	C	Quinol monooxygenase YgiN	METABOLISM	Energy production and conversion
COG1156	C	Archaeal/vacuolar-type H+-ATPase subunit B/Vma2	METABOLISM	Energy production and conversion
COG4078	C	Energy-converting hydrogenase Eha subunit H	METABOLISM	Energy production and conversion
COG5557	C	Ni/Fe-hydrogenase 2 integral membrane subunit HybB	METABOLISM	Energy production and conversion
COG3262	C	Ni,Fe-hydrogenase III component G	METABOLISM	Energy production and conversion
COG1838	C	Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain	METABOLISM	Energy production and conversion
COG2080	C	Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family	METABOLISM	Energy production and conversion
COG3909	C	Cytochrome c556	METABOLISM	Energy production and conversion
COG0372	C	Citrate synthase	METABOLISM	Energy production and conversion
COG1152	C	CO dehydrogenase/acetyl-CoA synthase alpha subunit	METABOLISM	Energy production and conversion
COG3278	C	Cbb3-type cytochrome oxidase, subunit 1	METABOLISM	Energy production and conversion
COG1038	C	Pyruvate carboxylase	METABOLISM	Energy production and conversion
COG1252	C	NADH dehydrogenase, FAD-containing subunit	METABOLISM	Energy production and conversion
COG1584	C	Succinate-acetate transporter protein	METABOLISM	Energy production and conversion
COG4231	C	TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit	METABOLISM	Energy production and conversion
COG3658	C	Cytochrome b	METABOLISM	Energy production and conversion
COG5016	C	Pyruvate/oxaloacetate carboxyltransferase	METABOLISM	Energy production and conversion
COG2210	C	Peroxiredoxin family protein	METABOLISM	Energy production and conversion
COG2009	C	Succinate dehydrogenase/fumarate reductase, cytochrome b subunit	METABOLISM	Energy production and conversion
COG2851	C	Mg2+/citrate symporter	METABOLISM	Energy production and conversion
COG0649	C	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)	METABOLISM	Energy production and conversion
COG2010	C	Cytochrome c, mono- and diheme variants	METABOLISM	Energy production and conversion
COG0680	C	Ni,Fe-hydrogenase maturation factor	METABOLISM	Energy production and conversion
COG3029	C	Fumarate reductase subunit C	METABOLISM	Energy production and conversion
COG1155	C	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1	METABOLISM	Energy production and conversion
COG0431	C	NAD(P)H-dependent FMN reductase	METABOLISM	Energy production and conversion
COG2609	C	Pyruvate dehydrogenase complex, dehydrogenase (E1) component	METABOLISM	Energy production and conversion
COG3493	C	Na+/citrate or Na+/malate symporter	METABOLISM	Energy production and conversion
COG1254	C	Acylphosphatase	METABOLISM	Energy production and conversion
COG1773	C	Rubredoxin	METABOLISM	Energy production and conversion
COG3245	C	Cytochrome c5	METABOLISM	Energy production and conversion
COG0479	C	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit	METABOLISM	Energy production and conversion
COG4654	C	Cytochrome c551/c552	METABOLISM	Energy production and conversion
COG1795	C	Formaldehyde-activating enzyme nesessary for methanogenesis	METABOLISM	Energy production and conversion
COG0567	C	2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes	METABOLISM	Energy production and conversion
COG2225	C	Malate synthase	METABOLISM	Energy production and conversion
COG0348	C	Polyferredoxin	METABOLISM	Energy production and conversion
COG1274	C	Phosphoenolpyruvate carboxykinase, GTP-dependent	METABOLISM	Energy production and conversion
COG2869	C	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC	METABOLISM	Energy production and conversion
COG1036	C	Archaeal flavoprotein	METABOLISM	Energy production and conversion
COG0578	C	Glycerol-3-phosphate dehydrogenase	METABOLISM	Energy production and conversion
COG1625	C	Fe-S oxidoreductase, related to NifB/MoaA family	METABOLISM	Energy production and conversion
COG1042	C	Acyl-CoA synthetase (NDP forming)	METABOLISM	Energy production and conversion
COG2878	C	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit	METABOLISM	Energy production and conversion
COG3260	C	Ni,Fe-hydrogenase III small subunit	METABOLISM	Energy production and conversion
COG1301	C	Na+/H+-dicarboxylate symporter	METABOLISM	Energy production and conversion
COG1805	C	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB	METABOLISM	Energy production and conversion
COG3427	C	Carbon monoxide dehydrogenase subunit G	METABOLISM	Energy production and conversion
COG0427	C	Acyl-CoA hydrolase	METABOLISM	Energy production and conversion
COG3426	C	Butyrate kinase	METABOLISM	Energy production and conversion
COG1018	C	Ferredoxin-NADP reductase	METABOLISM	Energy production and conversion
COG1726	C	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA	METABOLISM	Energy production and conversion
COG4147	C	Na+(or H+)/acetate symporter ActP	METABOLISM	Energy production and conversion
COG1853	C	NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family	METABOLISM	Energy production and conversion
COG1153	C	Formylmethanofuran dehydrogenase subunit D	METABOLISM	Energy production and conversion
COG2857	C	Cytochrome c1	METABOLISM	Energy production and conversion
COG1294	C	Cytochrome bd-type quinol oxidase, subunit 2	METABOLISM	Energy production and conversion
COG2224	C	Isocitrate lyase	METABOLISM	Energy production and conversion
COG1269	C	Archaeal/vacuolar-type H+-ATPase subunit I/STV1	METABOLISM	Energy production and conversion
COG0282	C	Acetate kinase	METABOLISM	Energy production and conversion
COG1017	C	Hemoglobin-like flavoprotein	METABOLISM	Energy production and conversion
COG3080	C	Fumarate reductase subunit D	METABOLISM	Energy production and conversion
COG0247	C	Fe-S oxidoreductase	METABOLISM	Energy production and conversion
COG0374	C	Ni,Fe-hydrogenase I large subunit	METABOLISM	Energy production and conversion
COG3258	C	Cytochrome c	METABOLISM	Energy production and conversion
COG2440	C	Ferredoxin-like protein FixX	METABOLISM	Energy production and conversion
COG0650	C	Formate hydrogenlyase subunit 4	METABOLISM	Energy production and conversion
COG1034	C	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)	METABOLISM	Energy production and conversion
COG4660	C	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfE subunit	METABOLISM	Energy production and conversion
COG3202	C	ATP/ADP translocase	METABOLISM	Energy production and conversion
COG2033	C	Desulfoferrodoxin, superoxide reductase-like (SORL) domain	METABOLISM	Energy production and conversion
COG2142	C	Succinate dehydrogenase, hydrophobic anchor subunit	METABOLISM	Energy production and conversion
COG3761	C	NADH:ubiquinone oxidoreductase 17.2 kD subunit	METABOLISM	Energy production and conversion
COG3630	C	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, gamma subunit	METABOLISM	Energy production and conversion
COG4039	C	Energy-converting hydrogenase Eha subunit C	METABOLISM	Energy production and conversion
COG3069	C	C4-dicarboxylate transporter	METABOLISM	Energy production and conversion
COG4041	C	Energy-converting hydrogenase Eha subunit B	METABOLISM	Energy production and conversion
COG3302	C	DMSO reductase anchor subunit	METABOLISM	Energy production and conversion
COG3259	C	Coenzyme F420-reducing hydrogenase, alpha subunit	METABOLISM	Energy production and conversion
COG0554	C	Glycerol kinase	METABOLISM	Energy production and conversion
COG0371	C	Glycerol dehydrogenase or related enzyme, iron-containing ADH family	METABOLISM	Energy production and conversion
COG0473	CE	Isocitrate/isopropylmalate dehydrogenase	NA	NA
COG1052	CHR	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	NA	NA
COG5274	CI	Cytochrome b involved in lipid metabolism	NA	NA
COG1304	CIR	FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase	NA	NA
COG3088	CO	Cytochrome c-type biogenesis protein CcmH/NrfF	NA	NA
COG3336	CO	Cytochrome c oxidase assembly factor CtaG	NA	NA
COG0785	CO	Cytochrome c biogenesis protein CcdA	NA	NA
COG1333	CO	Cytochrome c biogenesis protein ResB	NA	NA
COG1138	CO	Cytochrome c biogenesis factor	NA	NA
COG2332	CO	Cytochrome c-type biogenesis protein CcmE	NA	NA
COG4987	CO	ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components	NA	NA
COG3175	CO	Cytochrome c oxidase assembly protein Cox11	NA	NA
COG3058	CO	Formate dehydrogenase maturation protein FdhE	NA	NA
COG4988	CO	ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components	NA	NA
COG4846	CO	Membrane protein CcdC involved in cytochrome C biogenesis	NA	NA
COG4235	CO	Cytochrome c-type biogenesis protein CcmH/NrfG	NA	NA
COG4084	CO	Energy-converting hydrogenase A subunit M	NA	NA
COG1668	CP	ABC-type Na+ efflux pump, permease component	NA	NA
COG3263	CP	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains	NA	NA
COG4555	CP	ABC-type Na+ transport system, ATPase component NatA	NA	NA
COG3067	CP	Na+/H+ antiporter NhaB	NA	NA
COG1009	CP	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit	NA	NA
COG5013	CP	Nitrate reductase alpha subunit	NA	NA
COG3043	CP	Nitrate reductase cytochrome c-type subunit	NA	NA
COG0651	CP	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	NA	NA
COG3004	CP	Na+/H+ antiporter NhaA	NA	NA
COG1140	CP	Nitrate reductase beta subunit	NA	NA
COG0221	CP	Inorganic pyrophosphatase	NA	NA
COG1227	CP	Inorganic pyrophosphatase/exopolyphosphatase	NA	NA
COG2181	CP	Nitrate reductase gamma subunit	NA	NA
COG2180	CPO	Nitrate reductase assembly protein NarJ, required for insertion of molybdenum cofactor	NA	NA
COG0604	CR	NADPH:quinone reductase or related Zn-dependent oxidoreductase	NA	NA
COG5524	CT	Bacteriorhodopsin	NA	NA
COG3660	D	Mitochondrial fission protein ELM1	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG5491	D	Archaeal division protein CdvB, Snf7/Vps24/ESCRT-III family	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG0850	D	Septum formation inhibitor MinC	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG1674	D	DNA segregation ATPase FtsK/SpoIIIE and related proteins	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG3006	D	Chromosome condensin MukBEF complex, kleisin-like MukF subunit	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG5404	D	Cell division inhibitor SulA, prevents FtsZ ring assembly	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG0849	D	Cell division ATPase FtsA	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG3074	D	Cell division protein ZapB, interacts with FtsZ	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG2450	D	Predicted archaeal cell division protein, SepF homolog, DUF552 family	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG4326	D	Sporulation-control protein spo0M	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG1426	D	Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG3096	D	Chromosome condensin MukBEF, ATPase and DNA-binding subunit MukB [Escherichia coli str. K-12 substr. MG1655	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG1077	D	Actin-like ATPase involved in cell morphogenesis	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG0851	D	Septum formation topological specificity factor MinE	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG0772	D	Bacterial cell division protein FtsW, lipid II flippase	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG2917	D	Intracellular septation protein A	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG3087	D	Cell division protein FtsN	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
COG0206	D	Cell division GTPase FtsZ	CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning
